X,Y,OBJECTID,NAME,LINES,ATCOCODE,MODES,ACCESSIBILITY,NIGHT_TUBE,NETWORK,DATASET_LAST_UPDATED,FULL_NAME
543795.2009,193021.039000001,124,Chigwell,Central,940GZZLUCWL,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Chigwell station
526659.2098,181314.446900001,125,Paddington,"Hammersmith & City, District, Circle, Bakerloo",940GZZLUPAC,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Paddington station
540003.2462,183297.1438,126,Plaistow,"District, Hammersmith & City",940GZZLUPLW,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Plaistow station
541254.2061,183793.485200001,127,Upton Park,"District, Hammersmith & City",940GZZLUUPK,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Upton Park station
542463.3563,184275.4352,128,East Ham,"District, Hammersmith & City",940GZZLUEHM,"bus, tube",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,East Ham station
510266.398,185851.599300001,129,Ruislip Gardens,Central,940GZZLURSG,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Ruislip Gardens station
511097.3834,185434.104699999,130,South Ruislip,Central,940GZZLUSRP,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,South Ruislip station
513213.3316,184523.897600001,131,Northolt,Central,940GZZLUNHT,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Northolt station
508378.6627,186795.997400001,132,West Ruislip,Central,940GZZLUWRP,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,West Ruislip station
545845.6808,184254.344900001,133,Upney,District,940GZZLUUPY,"tube, bus",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Upney station
523873.7006,187934.037,134,Brent Cross,Northern,940GZZLUBTX,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Brent Cross station
521318.6301,189961.520300001,135,Colindale,Northern,940GZZLUCND,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Colindale station
520325.5892,190759.991599999,136,Burnt Oak,Northern,940GZZLUBTK,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Burnt Oak station
524045.7492,191450.480699999,137,Mill Hill East,Northern,940GZZLUMHL,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Mill Hill East station
525255.0926,187480.2837,138,Golders Green,Northern,940GZZLUGGN,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Golders Green station
525278.0259,190668.344000001,139,Finchley Central,Northern,940GZZLUFYC,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Finchley Central station
515411.8716,185542.0623,140,Sudbury Hill,Piccadilly,940GZZLUSUH,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Sudbury Hill station
516874.9001,184890.216,141,Sudbury Town,Piccadilly,940GZZLUSUT,"tube, bus",Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Sudbury Town station
517574.6349,179353.532600001,142,South Ealing,Piccadilly,940GZZLUSEA,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,South Ealing station
519141.6075,182236.241800001,143,Park Royal,Piccadilly,940GZZLUPKR,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Park Royal station
