station,lon,lat,Annualised
poplar,-0.017226331074825962,51.507712402790666,1771534.38986154
preston road,-0.295129262413792,51.572014075601594,2417838.473973
prince regent,0.03419020393459334,51.50936904185673,1554513.89455173
pudding mill lane,-0.013970419425652433,51.53419514928635,2297161.21653257
putney bridge,-0.2087270375114135,51.468255468258455,4735435.81269101
queens park,-0.2057416029735368,51.53397821009533,4545289.57698317
queens road peckham,-0.0568879470177515,51.474429745517725,3295675.15187518
queensbury,-0.2862217775472735,51.594197452092956,3017967.98258286
queensway,-0.1871382982400705,51.51025217607452,5753721.00422401
ravenscourt park,-0.23577535697187443,51.494167735828476,2614812.41694032
rayners lane,-0.3714462140203309,51.57519536192318,3248353.31078378
reading,-0.972884910804934,51.45916521859046,3565384.31415437
rectory road,-0.06868068769852809,51.559145980891394,1858510.84434987
redbridge,0.04541027413893245,51.576249813818855,1977246.4678677
regents park,-0.14631312455288237,51.523278384742916,2209707.61176303
richmond,-0.30166912590765976,51.463118722979786,11469667.4773858
rickmansworth,-0.4737058106627785,51.640288366349886,1797118.76204198
roding valley,0.043709650244648464,51.61707861416649,165031.929774165
romford,0.18271761392677535,51.5746434384327,9745606.39832976
rotherhithe,-0.052241894163923816,51.501132194147004,1505749.73016152
royal albert,0.04586359758395505,51.508410493809826,1420217.12758216
royal oak,-0.18778627332991818,51.5190481301195,2139779.8905843
royal victoria,0.017726499393994184,51.50923086828426,2525716.3814864
ruislip,-0.4217906669062552,51.57129177940531,1430885.55659283
ruislip gardens,-0.4107169346271762,51.56077549009729,825293.778500312
ruislip manor,-0.411812431756392,51.573476142150504,1358873.10803906
russell square,-0.1242697810208252,51.523059183326126,8565251.2681807
seven kings,0.096072904304673,51.56394753983006,3827887.01991187
seven sisters,-0.0725100279127818,51.58339794718637,12175291.6256019
shadwell,-0.05693819522132849,51.51175412424063,9443983.875195071
shenfield,0.3297963927939857,51.63058290907822,3033192.57335667
shepherds bush,-0.2188348749838903,51.50435277171324,20103266.099484622
shepherds bush market,-0.22629592219219585,51.50609054189477,3255578.26020473
shoreditch high street,-0.07468625443056125,51.52325926184827,6721338.56566273
silver street,-0.06716704287220243,51.61488816745777,2807918.80312632
sloane square,-0.15633533949456732,51.492336934610854,13641290.0672905
slough,-0.5913292590608042,51.51209398311121,5473201.93372788
snaresbrook,0.021393426338283436,51.580677077117976,1815028.92308047
south acton,-0.27008562481765386,51.49961606362163,979550.544038335
south ealing,-0.3075052577072797,51.50089966685759,2146184.87450293
south hampstead,-0.1779427924022885,51.54137098924108,525939.275531977
south harrow,-0.3520927569079474,51.564549549948175,1993704.36779632
south kensington,-0.17316504691138465,51.494088587081876,28240695.6154205
south kenton,-0.30837349233977196,51.570212909100526,946606.374847929
south quay,-0.019032982341807152,51.50061170089832,4132278.19476185
south ruislip,-0.39886613068870685,51.55686021118094,1551653.93107376
south tottenham,-0.0717449592130599,51.580435777124215,1768266.88420424
south wimbledon,-0.19330652029319115,51.414989292576756,3640525.79806991
south woodford,0.027362518469825344,51.59189245301707,3979861.48627938
southall,-0.3771245451315028,51.50614548639834,7925902.18949952
southbury,-0.05245477481211608,51.648755534035104,1034928.31461217
southfields,-0.2066534771013345,51.44507985784133,4921086.25278473
southgate,-0.1277625393853029,51.632258543711735,3907188.88667962
