lat,lon,crowding_score,crowding_score_norm,min_distance_to_station_km,top_relieved_stations
51.35434782608696,-0.015217391304347738,0.0,0.0,7.368110135717642,
51.35434782608696,-0.007246376811594124,0.0,0.0,7.645198031274675,
51.35434782608696,0.0007246376811594901,0.0,0.0,7.951166199168564,
51.35434782608696,0.008695652173913104,0.0,0.0,8.28281473195336,
51.35434782608696,0.016666666666666774,0.0,0.0,8.63718592742908,
51.35434782608696,0.024637681159420388,0.0,0.0,9.011599549430692,
51.35434782608696,0.032608695652174,0.0,0.0,9.403661887198352,
51.35434782608696,0.040579710144927617,0.0,0.0,9.8112574121777,
51.35434782608696,0.04855072463768123,0.0,0.0,10.232530073474198,
51.35434782608696,0.0565217391304349,0.0,0.0,10.665859359592243,
51.35434782608696,0.06449275362318851,0.0,0.0,11.1098345812686,
51.35434782608696,0.07246376811594213,0.0,0.0,11.563229532616347,
51.35434782608696,0.08043478260869574,0.0,0.0,12.02497875921592,
51.35434782608696,0.08840579710144936,0.0,0.0,12.494156037977325,
51.35434782608696,0.09637681159420297,0.0,0.0,12.964400030211698,
51.35434782608696,0.10434782608695664,0.0,0.0,13.431854389622195,
51.35434782608696,0.11231884057971026,0.0,0.0,13.905598606815941,
51.35434782608696,0.12028985507246387,0.0,0.0,14.385011254772131,
51.35434782608696,0.12826086956521748,0.0,0.0,14.869544066374852,
51.35434782608696,0.1362318840579711,0.0,0.0,15.242115328369932,
51.35434782608696,0.14420289855072477,0.0,0.0,15.291497753846306,
51.35434782608696,0.15217391304347838,0.0,0.0,15.360620556629513,
51.35434782608696,0.160144927536232,0.0,0.0,15.449218771344249,
51.35434782608696,0.1681159420289856,0.0,0.0,15.556959658105317,
51.35434782608696,0.17608695652173922,0.0,0.0,15.68344870627683,
51.35434782608696,0.18405797101449284,0.0,0.0,15.82823645115316,
51.35434782608696,0.19202898550724645,0.0,0.0,15.990825846201295,
51.35434782608696,0.2,0.0,0.0,16.17067993409672,
51.358695652173914,-0.35,0.0,0.0,11.825864458093776,
51.358695652173914,-0.34202898550724636,0.0,0.0,11.324152579211448,
51.358695652173914,-0.33405797101449275,0.0,0.0,10.827458402073711,
51.358695652173914,-0.3260869565217391,0.0,0.0,10.336505296536433,
51.358695652173914,-0.31811594202898547,0.0,0.0,9.852151574660791,
51.358695652173914,-0.31014492753623185,0.0,0.0,9.37542011210504,
51.358695652173914,-0.30217391304347824,0.0,0.0,8.907534829499289,
51.358695652173914,-0.2942028985507246,0.0,0.0,8.44996533318315,
51.358695652173914,-0.28623188405797095,0.0,0.0,8.004480904597283,
51.358695652173914,-0.27826086956521734,0.0,0.0,7.573214514692219,
51.358695652173914,-0.2702898550724637,0.0,0.0,7.158736258014941,
51.358695652173914,-0.2623188405797101,0.0,0.0,6.764132967574153,
51.358695652173914,-0.2543478260869565,0.0,0.0,6.393085962512395,
51.358695652173914,-0.24637681159420285,0.0,0.0,6.04993097751088,
51.358695652173914,-0.23840579710144924,0.0,0.0,5.7396728982747565,
51.358695652173914,-0.2304347826086956,0.0,0.0,5.467914465947832,
51.358695652173914,-0.22246376811594198,0.0,0.0,5.240648409483924,
51.358695652173914,-0.21449275362318837,0.0,0.0,5.063868722889436,
51.358695652173914,-0.20652173913043473,0.0,0.0,4.942995114395557,
51.358695652173914,-0.19855072463768111,0.0,0.0,4.882181739853466,
51.358695652173914,-0.19057971014492747,0.0,0.0,4.883672795118246,
51.358695652173914,-0.18260869565217386,0.0,0.0,4.947411948405414,
51.358695652173914,-0.17463768115942024,0.0,0.0,5.071052512634329,
51.358695652173914,-0.1666666666666666,0.0,0.0,5.250364344610189,
51.358695652173914,-0.158695652173913,0.0,0.0,5.4798851686085,
51.358695652173914,-0.15072463768115937,0.0,0.0,5.753609361673892,
51.358695652173914,-0.14275362318840573,0.0,0.0,6.06555548912405,
51.358695652173914,-0.13478260869565212,0.0,0.0,6.410145827692149,
51.358695652173914,-0.1268115942028985,0.0,0.0,6.782406583054264,
51.358695652173914,-0.11884057971014486,0.0,0.0,7.060756839649732,
51.358695652173914,-0.11086956521739125,0.0,0.0,6.786666803235766,
51.358695652173914,-0.1028985507246376,0.0,0.0,6.547925812845617,
51.358695652173914,-0.09492753623188399,0.0,0.0,6.348523107262135,
51.358695652173914,-0.08695652173913038,0.0,0.0,6.19226016146477,
51.358695652173914,-0.07898550724637676,0.0,0.0,6.082462763153875,
51.358695652173914,-0.07101449275362309,0.0,0.0,6.021673167238169,
51.358695652173914,-0.06304347826086948,0.0,0.0,6.011378321117913,
51.358695652173914,-0.055072463768115865,0.0,0.0,6.051835921960219,
